Date,Open,High,Low,Close,Volume
2023-04-14,162.947,164.66,162.184,163.56,49884529
2023-04-13,160.016,164.146,159.809,163.907,69135904
2023-04-12,159.61,160.442,158.185,158.501,50638640
2023-04-11,160.729,160.739,158.907,159.194,48124695
2023-04-10,159.809,160.412,158.481,160.412,48198093
2023-04-06,160.808,163.313,160.382,163.016,45847869
2023-04-05,163.095,163.402,160.186,162.124,52031225
2023-04-04,164.933,165.173,163.461,163.977,46744998
2023-04-03,162.629,164.63,162.581,164.51,57550776
2023-03-31,160.818,163.353,160.293,163.255,69443114
2023-03-30,159.916,160.848,159.66,160.739,50000899
2023-03-29,157.779,159.443,157.759,159.164,51823094
2023-03-28,156.393,156.907,154.423,156.076,46455970
2023-03-27,158.344,159.164,156.294,156.699,52918607
2023-03-24,157.275,158.739,156.274,158.651,59853926
2023-03-23,157.245,159.936,156.106,157.342,68304009
2023-03-22,157.709,160.522,156.234,156.254,76465242
2023-03-21,155.749,157.808,154.977,157.69,74683932
2023-03-20,153.522,156.244,152.61,155.828,74384068
2023-03-17,154.522,155.174,152.74,153.452,99942462
2023-03-16,150.64,154.897,150.128,154.294,77023423
2023-03-15,149.679,151.715,148.424,151.462,77946082
2023-03-14,149.769,151.868,148.602,151.067,74439095
2023-03-13,146.329,151.611,146.225,148.967,85308848
2023-03-10,148.71,149.434,146.135,147.017,69263933
2023-03-09,152.027,152.993,148.724,149.086,54376478
2023-03-08,151.284,151.938,150.314,151.343,47680838
2023-03-07,152.165,152.491,149.619,150.088,56748608
2023-03-06,152.25,154.741,151.928,152.295,88441026
2023-03-03,146.569,149.601,145.86,149.523,71445612
2023-03-02,142.94,145.244,142.462,144.453,52806987
2023-03-01,145.363,145.759,143.563,143.859,56038481
2023-02-28,145.582,147.591,145.363,145.938,51056750
2023-02-27,146.235,147.681,145.978,146.444,45452267
2023-02-24,145.642,145.722,144.266,145.244,56029001
2023-02-23,148.592,148.838,145.771,147.908,48882291
2023-02-22,147.384,148.453,145.692,147.423,51525739
2023-02-21,148.702,149.788,146.923,146.997,59460889
2023-02-17,150.83,151.472,149.346,151.027,59740570
2023-02-16,151.978,154.769,151.816,152.175,68855396
2023-02-15,151.582,153.947,151.353,153.78,66331508
2023-02-14,150.6,152.235,149.355,151.671,62329876
2023-02-13,149.445,152.72,149.414,152.314,62826272
2023-02-10,147.968,149.828,147.731,149.503,58030082
2023-02-09,152.009,152.555,148.693,149.136,56658334
2023-02-08,152.111,152.803,149.432,150.174,64865599
2023-02-07,148.907,153.445,148.907,152.873,84291337
2023-02-06,150.822,151.34,149.046,149.987,70670544
2023-02-03,146.328,155.572,146.13,152.724,156152040
2023-02-02,147.189,149.443,146.468,149.086,119714900
2023-02-01,142.315,144.925,139.696,143.757,78566623
2023-01-31,141.059,142.681,140.646,142.632,66640377
2023-01-30,143.288,143.877,141.208,141.358,64759575
2023-01-27,141.51,145.538,141.437,144.254,71376191
2023-01-26,141.524,142.592,140.269,142.305,54734144
2023-01-25,139.27,140.792,137.214,140.229,66564394
2023-01-24,138.691,141.515,138.686,140.891,67207579
2023-01-23,136.533,141.667,136.315,139.487,82710935
2023-01-20,133.726,136.434,132.677,136.286,81156381
2023-01-19,132.539,134.684,132.233,133.716,58958035
2023-01-18,135.242,137.017,133.477,133.657,70482881
2023-01-17,133.279,135.713,132.589,134.378,64386642
2023-01-13,130.513,133.368,130.147,133.211,58481869
2023-01-12,132.34,132.716,129.929,131.878,72209574
2023-01-11,129.741,131.975,128.96,131.956,70266544
2023-01-10,128.762,129.754,126.649,129.228,64639071
2023-01-09,128.965,131.878,128.397,128.654,71613893
2023-01-06,124.562,128.792,123.455,128.13,88775033
2023-01-05,125.669,126.301,123.326,123.584,81904056
2023-01-04,125.431,127.177,123.642,124.907,90149751
2023-01-03,128.782,129.395,122.744,123.633,113421054
